DateKey,Date,Year,MonthNo,MonthName,YearMonth
20250220,2025-02-20,2025,2,February,2025-02
20250221,2025-02-21,2025,2,February,2025-02
20250222,2025-02-22,2025,2,February,2025-02
20250223,2025-02-23,2025,2,February,2025-02
20250224,2025-02-24,2025,2,February,2025-02
20250225,2025-02-25,2025,2,February,2025-02
20250226,2025-02-26,2025,2,February,2025-02
20250227,2025-02-27,2025,2,February,2025-02
20250228,2025-02-28,2025,2,February,2025-02
20250301,2025-03-01,2025,3,March,2025-03
20250302,2025-03-02,2025,3,March,2025-03
20250303,2025-03-03,2025,3,March,2025-03
20250304,2025-03-04,2025,3,March,2025-03
20250305,2025-03-05,2025,3,March,2025-03
20250306,2025-03-06,2025,3,March,2025-03
20250307,2025-03-07,2025,3,March,2025-03
20250308,2025-03-08,2025,3,March,2025-03
20250309,2025-03-09,2025,3,March,2025-03
20250310,2025-03-10,2025,3,March,2025-03
20250311,2025-03-11,2025,3,March,2025-03
20250312,2025-03-12,2025,3,March,2025-03
20250313,2025-03-13,2025,3,March,2025-03
20250314,2025-03-14,2025,3,March,2025-03
20250315,2025-03-15,2025,3,March,2025-03
20250316,2025-03-16,2025,3,March,2025-03
20250317,2025-03-17,2025,3,March,2025-03
20250318,2025-03-18,2025,3,March,2025-03
20250319,2025-03-19,2025,3,March,2025-03
20250320,2025-03-20,2025,3,March,2025-03
20250321,2025-03-21,2025,3,March,2025-03
20250322,2025-03-22,2025,3,March,2025-03
20250323,2025-03-23,2025,3,March,2025-03
20250324,2025-03-24,2025,3,March,2025-03
20250325,2025-03-25,2025,3,March,2025-03
20250326,2025-03-26,2025,3,March,2025-03
20250327,2025-03-27,2025,3,March,2025-03
20250328,2025-03-28,2025,3,March,2025-03
20250329,2025-03-29,2025,3,March,2025-03
20250330,2025-03-30,2025,3,March,2025-03
20250331,2025-03-31,2025,3,March,2025-03
20250401,2025-04-01,2025,4,April,2025-04
20250402,2025-04-02,2025,4,April,2025-04
20250403,2025-04-03,2025,4,April,2025-04
20250404,2025-04-04,2025,4,April,2025-04
20250405,2025-04-05,2025,4,April,2025-04
20250406,2025-04-06,2025,4,April,2025-04
20250407,2025-04-07,2025,4,April,2025-04
20250408,2025-04-08,2025,4,April,2025-04
20250409,2025-04-09,2025,4,April,2025-04
20250410,2025-04-10,2025,4,April,2025-04
20250411,2025-04-11,2025,4,April,2025-04
20250412,2025-04-12,2025,4,April,2025-04
20250413,2025-04-13,2025,4,April,2025-04
20250414,2025-04-14,2025,4,April,2025-04
20250415,2025-04-15,2025,4,April,2025-04
20250416,2025-04-16,2025,4,April,2025-04
20250417,2025-04-17,2025,4,April,2025-04
20250418,2025-04-18,2025,4,April,2025-04
20250419,2025-04-19,2025,4,April,2025-04
20250420,2025-04-20,2025,4,April,2025-04
20250421,2025-04-21,2025,4,April,2025-04
20250422,2025-04-22,2025,4,April,2025-04
20250423,2025-04-23,2025,4,April,2025-04
20250424,2025-04-24,2025,4,April,2025-04
20250425,2025-04-25,2025,4,April,2025-04
20250426,2025-04-26,2025,4,April,2025-04
20250427,2025-04-27,2025,4,April,2025-04
20250428,2025-04-28,2025,4,April,2025-04
20250429,2025-04-29,2025,4,April,2025-04
20250430,2025-04-30,2025,4,April,2025-04
20250501,2025-05-01,2025,5,May,2025-05
20250502,2025-05-02,2025,5,May,2025-05
20250503,2025-05-03,2025,5,May,2025-05
20250504,2025-05-04,2025,5,May,2025-05
20250505,2025-05-05,2025,5,May,2025-05
20250506,2025-05-06,2025,5,May,2025-05
20250507,2025-05-07,2025,5,May,2025-05
20250508,2025-05-08,2025,5,May,2025-05
20250509,2025-05-09,2025,5,May,2025-05
20250510,2025-05-10,2025,5,May,2025-05
20250511,2025-05-11,2025,5,May,2025-05
20250512,2025-05-12,2025,5,May,2025-05
20250513,2025-05-13,2025,5,May,2025-05
20250514,2025-05-14,2025,5,May,2025-05
20250515,2025-05-15,2025,5,May,2025-05
20250516,2025-05-16,2025,5,May,2025-05
20250517,2025-05-17,2025,5,May,2025-05
20250518,2025-05-18,2025,5,May,2025-05
20250519,2025-05-19,2025,5,May,2025-05
20250520,2025-05-20,2025,5,May,2025-05
20250521,2025-05-21,2025,5,May,2025-05
20250522,2025-05-22,2025,5,May,2025-05
20250523,2025-05-23,2025,5,May,2025-05
20250524,2025-05-24,2025,5,May,2025-05
20250525,2025-05-25,2025,5,May,2025-05
20250526,2025-05-26,2025,5,May,2025-05
20250527,2025-05-27,2025,5,May,2025-05
20250528,2025-05-28,2025,5,May,2025-05
20250529,2025-05-29,2025,5,May,2025-05
20250530,2025-05-30,2025,5,May,2025-05
20250531,2025-05-31,2025,5,May,2025-05
20250601,2025-06-01,2025,6,June,2025-06
20250602,2025-06-02,2025,6,June,2025-06
20250603,2025-06-03,2025,6,June,2025-06
20250604,2025-06-04,2025,6,June,2025-06
20250605,2025-06-05,2025,6,June,2025-06
20250606,2025-06-06,2025,6,June,2025-06
20250607,2025-06-07,2025,6,June,2025-06
20250608,2025-06-08,2025,6,June,2025-06
20250609,2025-06-09,2025,6,June,2025-06
20250610,2025-06-10,2025,6,June,2025-06
20250611,2025-06-11,2025,6,June,2025-06
20250612,2025-06-12,2025,6,June,2025-06
20250613,2025-06-13,2025,6,June,2025-06
20250614,2025-06-14,2025,6,June,2025-06
20250615,2025-06-15,2025,6,June,2025-06
20250616,2025-06-16,2025,6,June,2025-06
20250617,2025-06-17,2025,6,June,2025-06
20250618,2025-06-18,2025,6,June,2025-06
20250619,2025-06-19,2025,6,June,2025-06
20250620,2025-06-20,2025,6,June,2025-06
20250621,2025-06-21,2025,6,June,2025-06
20250622,2025-06-22,2025,6,June,2025-06
20250623,2025-06-23,2025,6,June,2025-06
20250624,2025-06-24,2025,6,June,2025-06
20250625,2025-06-25,2025,6,June,2025-06
20250626,2025-06-26,2025,6,June,2025-06
20250627,2025-06-27,2025,6,June,2025-06
20250628,2025-06-28,2025,6,June,2025-06
20250629,2025-06-29,2025,6,June,2025-06
20250630,2025-06-30,2025,6,June,2025-06
